run_id,scheduler,seed,total_jobs,completed_jobs,failed_jobs,rejected_jobs,deadline_misses,average_wait_time,average_completion_time,gpu_utilization,total_cost
15,priority,57,39,34,5,0,0,0.0,6.1765,37.5,639.75
16,priority,58,39,37,2,0,0,0.1795,6.2703,23.4776,789.74
17,priority,59,39,34,5,0,0,0.0,5.9118,10.7143,572.04
18,priority,60,39,35,4,0,0,0.0,6.8857,22.2741,885.14
19,priority,61,39,37,2,0,0,0.0,7.4054,33.3981,718.01
20,priority,62,39,35,4,0,0,0.0,5.6571,17.7778,428.04
21,priority,63,39,36,3,0,0,0.0,6.25,22.0845,402.96
22,priority,64,39,34,5,0,0,0.0,5.2059,11.2621,486.34
23,priority,65,39,37,2,0,2,2.3846,9.9189,59.2105,1225.75
24,priority,66,39,35,4,0,0,0.0,7.2571,22.3901,926.38
25,priority,67,39,32,7,0,0,0.0,6.7188,18.6248,1093.42
26,priority,68,39,36,3,0,0,1.1795,7.9722,37.3853,1376.95
27,priority,69,39,34,4,1,3,2.6053,9.9412,52.8846,1211.67
28,priority,70,39,37,2,0,0,0.0,6.8649,29.6986,1211.43
29,priority,71,39,32,7,0,0,0.0769,6.875,32.7957,672.1
0,flow,42,39,37,2,0,0,0.1282,6.5946,18.4211,723.6
1,flow,43,39,37,2,0,0,0.0,6.5405,22.8571,626.8
2,flow,44,39,27,12,0,0,0.0,7.3704,25.6289,642.12
3,flow,45,39,36,3,0,0,0.0,7.3889,12.9167,1261.23
4,flow,46,39,35,4,0,1,0.8974,9.0,48.4848,798.75
5,flow,47,39,37,2,0,0,0.0513,5.7838,28.0556,816.86
6,flow,48,39,33,6,0,0,0.0256,6.6667,20.4082,898.72
7,flow,49,39,37,2,0,0,0.0256,7.1081,18.6214,787.52
8,flow,50,39,33,6,0,0,0.0,7.1818,32.8125,993.66
9,flow,51,39,30,9,0,0,0.1538,5.8667,31.7661,457.25
10,flow,52,39,36,3,0,0,0.0,5.7222,18.2051,476.36
11,flow,53,39,36,2,1,2,2.2632,9.0833,52.1605,1238.82
12,flow,54,39,37,2,0,0,0.0513,6.2973,18.9001,801.79
13,flow,55,39,37,2,0,0,0.0,7.1081,19.4575,647.61
14,flow,56,39,36,3,0,0,0.0256,6.1389,19.9286,372.08
15,flow,57,39,35,4,0,0,0.0,6.0,35.5422,661.29
16,flow,58,39,37,2,0,0,0.0256,6.5405,26.2461,899.11
17,flow,59,39,33,6,0,0,0.0,6.0606,10.3593,453.04
18,flow,60,39,33,6,0,0,0.0,7.3636,23.0952,877.09
19,flow,61,39,37,2,0,0,0.0256,7.3243,31.6981,621.6
20,flow,62,39,35,4,0,0,0.0,5.6571,17.3125,459.79
21,flow,63,39,34,5,0,0,0.0,6.4706,21.7115,397.25
22,flow,64,39,35,4,0,0,0.0,5.6857,11.6667,507.76
23,flow,65,39,37,2,0,1,2.4103,9.5405,57.7055,1131.77
24,flow,66,39,35,4,0,0,0.0,7.0,21.7822,655.06
25,flow,67,39,32,7,0,0,0.0256,6.4688,18.0593,1098.16
26,flow,68,39,34,5,0,1,1.359,8.3824,39.6789,1455.41
27,flow,69,39,36,3,0,0,1.6667,8.6667,47.8193,1030.17
28,flow,70,39,37,2,0,0,0.0,7.0541,28.7801,1233.11
29,flow,71,39,32,7,0,0,0.3077,7.9062,36.129,758.86
